"id";"session_code";"wm_score_t1";"wm_score_t2";"sleep_hours_t1";"sleep_hours_t2";"stress_rating_t1";"stress_rating_t2";"age";"gender"
101;"3/4";25;14;6,5;NA;4,9;NA;18;"div"
102;"3/4";30;21;8,4;7;4,6;9,5;19;"f"
103;"1/4";23;22;6,5;7,5;3,5;3,3;29;"f"
104;"1/4";NA;27;7,7;6,5;2,2;3,1;23;"f"
105;"4/4";30;29;7,3;7,1;4,2;4,8;30;"f"
106;"2/4";30;30;6,3;NA;2,9;4,1;28;"f"
107;"1/4";NA;26;NA;5,9;4,4;7,3;26;"na"
108;"1/4";27;22;7,9;8,6;4,1;7,6;35;"m"
109;"3/4";33;30;7,3;7,1;3,3;3,5;22;"f"
110;"4/4";28;27;9,3;8,8;3,7;4,4;34;"f"
111;"3/4";22;16;5,2;6,6;4,7;5,2;30;"f"
112;"1/4";25;26;6,4;5,8;4,1;3,4;35;"f"
113;"4/4";28;23;7,2;6,3;2,6;2,6;24;"m"
114;"1/4";25;20;2,9;3,7;5,4;7,7;31;"f"
115;"1/4";28;21;6;6,1;5,8;4,3;28;"f"
116;"4/4";30;24;7,8;5,7;4,3;4,7;21;"f"
117;"1/4";25;27;7;4,9;4,3;9,1;29;"f"
118;"1/4";29;26;8,5;NA;6;7,4;27;"m"
119;"1/4";35;31;7;7,9;3,4;4,7;26;"f"
120;"2/4";26;16;5,6;5,4;7,4;NA;21;"f"
121;"4/4";25;24;8;6,3;3,4;7,5;32;"m"
122;"3/4";33;28;6,1;NA;5,3;6,2;29;"f"
123;"2/4";26;24;8,3;NA;6,4;6,4;34;"f"
124;"1/4";39;36;7,8;6,3;4;4;21;"f"
125;"3/4";29;28;6,7;6,9;7,3;5,4;33;"f"
126;"1/4";23;20;7,4;6,3;3;6,6;33;"div"
127;"1/4";29;NA;7,2;6,7;3,6;4,2;23;"na"
128;"3/4";25;24;6,3;5,8;8,3;NA;22;"f"
129;"2/4";28;28;8,7;8,6;4,1;7;35;"f"
130;"1/4";22;23;6,6;6;6;6,6;19;"f"
131;"2/4";22;28;5,7;6,2;1,4;1,7;32;"f"
132;"4/4";25;25;5,9;5,4;5,7;6,9;31;"m"
133;"2/4";29;21;5,7;5,5;4,2;6,6;33;"f"
134;"1/4";24;28;6,8;7,2;2,7;2,1;32;"f"
135;"4/4";29;31;7,2;NA;4,5;4,8;34;"f"
136;"2/4";24;22;7,7;6,4;2,4;5,9;33;"m"
137;"4/4";19;14;7,2;7,9;3,4;7,7;29;"f"
138;"1/4";22;25;4,9;5;4,4;6,1;22;"m"
139;"2/4";26;23;6,4;5,7;5,6;3,4;26;"m"
140;"4/4";34;25;9,6;8;3,9;7,3;33;"f"
141;"1/4";25;20;7;5,5;7,1;9;30;"f"
142;"3/4";32;NA;7,7;5,4;3,8;6,3;31;"f"
143;"3/4";23;23;7,6;NA;4,2;NA;22;"na"
144;"1/4";34;36;7,3;NA;5,5;4,9;30;"m"
145;"1/4";21;24;6,2;5,1;5,7;4,8;20;"f"
146;"1/4";27;24;6,5;6,1;3,8;5,7;27;"m"
147;"1/4";NA;34;7,1;8,8;5,9;3,7;35;"f"
148;"4/4";24;29;8;7,6;4,6;4,3;35;"m"
149;"1/4";29;NA;7,4;6;1,5;3,8;26;"na"
150;"1/4";27;28;NA;NA;2,5;2,1;33;"f"
151;"4/4";28;18;6,4;4;5,8;9,5;27;"f"
152;"3/4";30;30;6,8;5,9;5,5;5,2;30;"f"
153;"1/4";23;NA;NA;8,3;2,5;2,4;33;"f"
154;"2/4";22;18;6;NA;4,2;7,2;35;"f"
155;"4/4";21;16;6,9;5,4;4;6;25;"m"
156;"4/4";32;31;7,8;7,6;3,4;5,1;26;"m"
157;"4/4";29;34;7,8;8,4;5;5,7;23;"f"
158;"1/4";25;24;5,8;4,7;NA;3,8;34;"f"
159;"3/4";24;27;7,5;7;6,1;4,7;23;"f"
160;"2/4";19;24;7,8;8,1;5,1;5,4;20;"f"
161;"2/4";33;25;6,5;7,5;4,9;5,7;31;"f"
162;"1/4";24;25;5;NA;2,8;3,4;22;"f"
163;"2/4";30;29;6,7;7,2;NA;5,4;26;"m"
164;"3/4";36;NA;7,3;7,5;8,5;9,9;28;"f"
165;"2/4";37;30;5,8;7,6;5,1;4,6;31;"f"
166;"1/4";26;23;7,9;7,1;2,5;2,7;31;"f"
167;"2/4";35;30;5,8;5,2;3,5;3,7;21;"f"
168;"1/4";28;28;7,6;7,5;3,2;2,8;35;"f"
169;"3/4";30;NA;9,2;7,9;4,2;5,3;18;"f"
170;"4/4";30;28;7,3;7;6,2;9,1;34;"m"
171;"2/4";30;27;6,5;NA;6,5;8,3;19;"m"
172;"2/4";29;25;6,1;5,3;4,6;6,5;33;"m"
173;"1/4";33;25;10,5;9;NA;4,3;20;"f"
174;"2/4";31;27;8,7;7,6;6,2;10;34;"f"
175;"2/4";16;NA;5,6;NA;3,2;6;30;"m"
176;"3/4";26;29;4,5;5,4;5,2;5,2;34;"f"
177;"4/4";29;29;5,9;6,5;4,1;3,5;33;"f"
178;"4/4";26;30;5,9;8;6,8;5,1;35;"f"
179;"4/4";29;31;6,4;7,5;3,9;4,7;27;"div"
180;"4/4";33;35;6,4;NA;4,8;3,4;23;"div"
181;"1/4";32;25;7,2;6,8;2,1;2,5;31;"m"
182;"2/4";29;20;7,7;6,7;4,4;8;25;"f"
183;"1/4";27;22;7,4;7,3;4;5,3;30;"f"
184;"4/4";39;28;NA;7,2;5,6;6,8;31;"f"
185;"3/4";20;22;6,2;6,5;6,7;6,7;32;"na"
186;"1/4";32;NA;7,6;6,9;7,2;9,1;32;"f"
187;"2/4";32;27;4,7;5;5,5;8;22;"f"
188;"4/4";25;21;6,7;4,7;4,9;4,8;21;"f"
