"id_raw"	"group_raw"	"device_raw"	"coder"	"notes"
"169"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"170"	"Stress"	"Lab"	"CD"	"spät erschienen"
"171"	"Stress"	"Zuhause"	"EF"	""
"172"	"Stress"	"Lab"	"EF  "	""
"173"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"174"	"Stress"	"Lab"	"AB"	""
"175"	"Stress"	"Zuhause"	"CD"	""
"176"	"Kontrollgruppe"	"unklar"	"AB"	""
"177"	"Kontrollgruppe"	"Zuhause"	""	""
"178"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"179"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"180"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"181"	"Kontrollgruppe"	"Lab"	"CD"	""
"182"	"Stress"	"Zuhause"	"AB"	""
"183"	"Stress"	""	"EF"	""
"184"	"Stress"	"Lab"	"AB"	""
"185"	"Kontrollgruppe"	"zuHause"	"AB"	"Geräusch im Raum"
"186"	"CON"	"Lab"	"AB"	""
"187"	"Stress"	"Zuhause"	"CD"	""
"188"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"177"	"Kontrollgruppe"	"Zuhause"	"CD"	"Doppelter Eintrag?"
