"id";"gruppe";"device";"session_code";"coder";"age";"gender";"MZP";"wm_score";"sleep_hours";"stress_rating"
12;"Kontrollgruppe";"Zuhause";"4/4";"AB";20;"f";"t1";29;8,9;NA
12;"Kontrollgruppe";"Zuhause";"4/4";"AB";20;"f";"t2";32;8,2;4,7
13;"Stress";"Zuhause";"2/4";"EF";30;"div";"t1";29;7,5;3,8
13;"Stress";"Zuhause";"2/4";"EF";30;"div";"t2";27;7,4;8,5
14;"Stress";"Lab";"2/4";NA;71;"f";"t1";26;5,9;5,7
14;"Stress";"Lab";"2/4";NA;71;"f";"t2";21;5,3;8,9
15;"Kontrollgruppe";"Lab";"4/4";"AB";18;"f";"t1";30;6,8;5,7
15;"Kontrollgruppe";"Lab";"4/4";"AB";18;"f";"t2";28;4,7;6
16;"Kontrollgruppe";"Zuhause";"3/4";"EF";26;"m";"t1";27;8,3;NA
16;"Kontrollgruppe";"Zuhause";"3/4";"EF";26;"m";"t2";26;7,5;3,4
17;NA;"Zuhause";"3/4";"EF";26;"f";"t1";31;6,6;5,2
17;NA;"Zuhause";"3/4";"EF";26;"f";"t2";31;7,5;5,7
18;"Kontrollgruppe";"Zuhause";"1/4";"AB";34;"f";"t1";28;7,1;5,9
18;"Kontrollgruppe";"Zuhause";"1/4";"AB";34;"f";"t2";27;7,5;4,2
19;"Kontrollgruppe";NA;"2/4";"EF";22;"f";"t1";31;7,9;5,2
19;"Kontrollgruppe";NA;"2/4";"EF";22;"f";"t2";29;7,2;3,9
20;"Stress";"Zuhause";"1/4";"CD";33;"f";"t1";29;8,5;5,8
20;"Stress";"Zuhause";"1/4";"CD";33;"f";"t2";20;7;8,2
21;NA;"Lab";"4/4";"CD";33;"m";"t1";26;6;2,7
21;NA;"Lab";"4/4";"CD";33;"m";"t2";16;5;5,4
22;"Kontrollgruppe";"Zuhause";"2/4";"EF";19;"f";"t1";32;6,8;5,3
22;"Kontrollgruppe";"Zuhause";"2/4";"EF";19;"f";"t2";29;6,5;5,7
23;"Kontrollgruppe";"Zuhause";"2/4";"CD";21;"m";"t1";25;6,5;7,4
23;"Kontrollgruppe";"Zuhause";"2/4";"CD";21;"m";"t2";24;NA;6,9
24;"Stress";"Zuhause";"2/4";"AB";19;"f";"t1";25;7,2;2
24;"Stress";"Zuhause";"2/4";"AB";19;"f";"t2";20;5,1;6,8
25;"Stress";"Zuhause";"2/4";"CD";29;"f";"t1";26;7,1;4,9
25;"Stress";"Zuhause";"2/4";"CD";29;"f";"t2";18;NA;7,8
26;"Stress";"Lab";"2/4";"EF";24;"f";"t1";33;7,3;2,7
26;"Stress";"Lab";"2/4";"EF";24;"f";"t2";NA;5,1;6,1
27;"Stress";"Zuhause";"1/4";"CD";35;"f";"t1";31;5,6;2,7
27;"Stress";"Zuhause";"1/4";"CD";35;"f";"t2";22;6;7,1
28;"Stress";"Zuhause";"1/4";"EF";19;"na";"t1";33;7,3;4,2
28;"Stress";"Zuhause";"1/4";"EF";19;"na";"t2";26;6,7;8
29;"Kontrollgruppe";"Zuhause";"4/4";"AB";23;"na";"t1";25;8,2;3,5
29;"Kontrollgruppe";"Zuhause";"4/4";"AB";23;"na";"t2";24;6,6;5,2
30;"Stress";"Zuhause";"4/4";"AB";33;"f";"t1";24;7,4;6,9
30;"Stress";"Zuhause";"4/4";"AB";33;"f";"t2";22;5,9;9,3
31;"Stress";NA;"1/4";"CD";33;"m";"t1";28;7,9;4,7
31;"Stress";NA;"1/4";"CD";33;"m";"t2";20;NA;6,5
32;"Stress";"Zuhause";"4/4";"EF";35;"f";"t1";31;7,7;3
32;"Stress";"Zuhause";"4/4";"EF";35;"f";"t2";29;6,1;4,3
33;"Stress";"Lab";"3/4";"CD";35;"m";"t1";27;6,6;3,6
33;"Stress";"Lab";"3/4";"CD";35;"m";"t2";23;6,2;5,5
34;NA;"Lab";"4/4";"CD";33;"f";"t1";29;5,5;4,7
34;NA;"Lab";"4/4";"CD";33;"f";"t2";32;5,3;3,5
35;"Kontrollgruppe";"Zuhause";"3/4";"CD";26;"m";"t1";29;8,3;3,6
35;"Kontrollgruppe";"Zuhause";"3/4";"CD";26;"m";"t2";30;7,5;3,5
36;NA;"Zuhause";"3/4";"EF";19;"na";"t1";31;8,2;3,1
36;NA;"Zuhause";"3/4";"EF";19;"na";"t2";27;NA;8,4
37;"Stress";"Lab";"2/4";"CD";29;"f";"t1";37;6,6;4,6
37;"Stress";"Lab";"2/4";"CD";29;"f";"t2";29;6,7;6
38;"Stress";"Zuhause";"1/4";"EF";21;"f";"t1";24;7,3;5,1
38;"Stress";"Zuhause";"1/4";"EF";21;"f";"t2";19;5,4;7,9
39;"Kontrollgruppe";"Zuhause";"4/4";"CD";31;"div";"t1";32;8;4,7
39;"Kontrollgruppe";"Zuhause";"4/4";"CD";31;"div";"t2";31;7,7;3,3
40;"Kontrollgruppe";"Zuhause";"4/4";"CD";34;"f";"t1";30;8;3,6
40;"Kontrollgruppe";"Zuhause";"4/4";"CD";34;"f";"t2";27;6,2;2,2
41;NA;"Zuhause";"2/4";"EF";28;"f";"t1";32;6,6;4,3
41;NA;"Zuhause";"2/4";"EF";28;"f";"t2";34;5,6;4,2
42;"Kontrollgruppe";"Lab";"2/4";"CD";18;"m";"t1";25;6,1;4,3
42;"Kontrollgruppe";"Lab";"2/4";"CD";18;"m";"t2";NA;7,1;2,6
43;"Kontrollgruppe";"Zuhause";"1/4";"EF";26;"m";"t1";27;NA;3,5
43;"Kontrollgruppe";"Zuhause";"1/4";"EF";26;"m";"t2";30;7,9;3,9
44;"Kontrollgruppe";"Zuhause";"4/4";"EF";18;"m";"t1";32;7,6;NA
44;"Kontrollgruppe";"Zuhause";"4/4";"EF";18;"m";"t2";24;5,7;8,4
45;"Kontrollgruppe";"Zuhause";"1/4";"CD";19;"m";"t1";32;6,7;5,4
45;"Kontrollgruppe";"Zuhause";"1/4";"CD";19;"m";"t2";29;6,8;4,5
46;"Stress";"Lab";"1/4";"AB";21;"f";"t1";28;6;5,5
46;"Stress";"Lab";"1/4";"AB";21;"f";"t2";27;5,3;6,8
47;"Kontrollgruppe";"Zuhause";"1/4";"AB";25;"m";"t1";28;7,1;2,4
47;"Kontrollgruppe";"Zuhause";"1/4";"AB";25;"m";"t2";26;8,1;2,7
48;"Kontrollgruppe";"Zuhause";"4/4";"EF";27;"na";"t1";32;7,1;4,5
48;"Kontrollgruppe";"Zuhause";"4/4";"EF";27;"na";"t2";32;NA;5,3
49;"Stress";"Zuhause";"1/4";"AB";32;"m";"t1";37;9;5,1
49;"Stress";"Zuhause";"1/4";"AB";32;"m";"t2";27;7,7;7,5
50;"Kontrollgruppe";"Zuhause";"1/4";"AB";28;"f";"t1";26;5,9;5,8
50;"Kontrollgruppe";"Zuhause";"1/4";"AB";28;"f";"t2";33;NA;6,1
51;"Kontrollgruppe";"Zuhause";"1/4";"EF";35;"f";"t1";37;6,5;2,6
51;"Kontrollgruppe";"Zuhause";"1/4";"EF";35;"f";"t2";38;7,3;1
52;"Stress";"Zuhause";"2/4";"CD";24;"f";"t1";31;9,3;3,3
52;"Stress";"Zuhause";"2/4";"CD";24;"f";"t2";25;7,6;6,3
53;"Stress";"Lab";"1/4";"EF";34;"f";"t1";24;7,1;3,3
53;"Stress";"Lab";"1/4";"EF";34;"f";"t2";23;6,3;7,8
54;"Kontrollgruppe";"Lab";"4/4";"CD";35;"f";"t1";30;7,2;4,6
54;"Kontrollgruppe";"Lab";"4/4";"CD";35;"f";"t2";28;8,5;4,7
55;"Kontrollgruppe";"Zuhause";"3/4";"CD";34;"f";"t1";24;6,4;3,6
55;"Kontrollgruppe";"Zuhause";"3/4";"CD";34;"f";"t2";20;5,8;4,1
56;NA;"Lab";"3/4";"EF";30;"m";"t1";26;8,5;4,4
56;NA;"Lab";"3/4";"EF";30;"m";"t2";26;8,4;4,8
57;"Kontrollgruppe";"Zuhause";"4/4";"AB";18;"div";"t1";29;6,3;7
57;"Kontrollgruppe";"Zuhause";"4/4";"AB";18;"div";"t2";NA;6;7,9
58;"Stress";"Lab";"2/4";"CD";30;"na";"t1";27;5,8;4,6
58;"Stress";"Lab";"2/4";"CD";30;"na";"t2";22;5,9;8,5
59;"Kontrollgruppe";NA;"2/4";"CD";27;"div";"t1";32;7,4;6
59;"Kontrollgruppe";NA;"2/4";"CD";27;"div";"t2";35;7,1;5
60;"Kontrollgruppe";"Lab";"1/4";"EF";22;"f";"t1";29;6,6;3,3
60;"Kontrollgruppe";"Lab";"1/4";"EF";22;"f";"t2";30;6,1;2,4
61;"Kontrollgruppe";NA;"1/4";"CD";19;"f";"t1";21;5,2;4,9
61;"Kontrollgruppe";NA;"1/4";"CD";19;"f";"t2";27;6,2;6,1
62;"Kontrollgruppe";"Lab";"3/4";"CD";25;"m";"t1";22;7,1;2,3
62;"Kontrollgruppe";"Lab";"3/4";"CD";25;"m";"t2";31;6,4;2,7
63;"Kontrollgruppe";NA;"1/4";"EF";30;"f";"t1";23;6,4;4,1
63;"Kontrollgruppe";NA;"1/4";"EF";30;"f";"t2";20;6,4;4,1
64;"Kontrollgruppe";"Zuhause";"4/4";NA;32;"na";"t1";24;5,5;4,8
64;"Kontrollgruppe";"Zuhause";"4/4";NA;32;"na";"t2";26;5,1;4,3
65;"Kontrollgruppe";"Zuhause";"4/4";"AB";26;"f";"t1";18;8,7;4,7
65;"Kontrollgruppe";"Zuhause";"4/4";"AB";26;"f";"t2";27;NA;6,5
66;"Stress";"Zuhause";"3/4";"AB";23;"m";"t1";23;7,3;5
66;"Stress";"Zuhause";"3/4";"AB";23;"m";"t2";21;7,6;7,8
67;"Stress";"Zuhause";"1/4";"CD";25;"f";"t1";28;6,2;5,2
67;"Stress";"Zuhause";"1/4";"CD";25;"f";"t2";25;4,6;NA
68;"Kontrollgruppe";"Zuhause";"4/4";"AB";24;"f";"t1";26;5,1;3,1
68;"Kontrollgruppe";"Zuhause";"4/4";"AB";24;"f";"t2";27;6,1;2,5
69;"Stress";"Zuhause";"1/4";"EF";22;"f";"t1";25;4,6;3,7
69;"Stress";"Zuhause";"1/4";"EF";22;"f";"t2";18;3;NA
70;"Stress";"Zuhause";"3/4";"AB";22;"f";"t1";30;6,6;3,2
70;"Stress";"Zuhause";"3/4";"AB";22;"f";"t2";NA;6,1;7,3
71;"Stress";"Zuhause";"3/4";"CD";25;"m";"t1";28;5,5;6,9
71;"Stress";"Zuhause";"3/4";"CD";25;"m";"t2";23;4,9;NA
72;"Kontrollgruppe";"Zuhause";"1/4";"CD";23;"f";"t1";26;8,3;5,6
72;"Kontrollgruppe";"Zuhause";"1/4";"CD";23;"f";"t2";26;8,1;4,2
73;"Stress";"Zuhause";"1/4";"AB";21;"f";"t1";27;6,5;4,2
73;"Stress";"Zuhause";"1/4";"AB";21;"f";"t2";NA;5,3;6,8
74;"Kontrollgruppe";"Lab";"3/4";NA;27;"f";"t1";26;6,4;5,8
74;"Kontrollgruppe";"Lab";"3/4";NA;27;"f";"t2";29;6,3;4,6
75;NA;"Zuhause";"1/4";"AB";33;"na";"t1";22;6,2;3,9
75;NA;"Zuhause";"1/4";"AB";33;"na";"t2";16;5,1;7,2
76;"Kontrollgruppe";"Zuhause";"3/4";"EF";32;"f";"t1";29;7;2
76;"Kontrollgruppe";"Zuhause";"3/4";"EF";32;"f";"t2";35;6,4;4
77;"Stress";"Lab";"4/4";"EF";31;"f";"t1";30;9;5,7
77;"Stress";"Lab";"4/4";"EF";31;"f";"t2";26;7,6;7,9
78;"Stress";"Zuhause";"1/4";"EF";21;"div";"t1";24;7,6;2,5
78;"Stress";"Zuhause";"1/4";"EF";21;"div";"t2";24;6;6,4
79;"Stress";"Zuhause";"2/4";"CD";31;"f";"t1";30;6,2;4,6
79;"Stress";"Zuhause";"2/4";"CD";31;"f";"t2";25;4,8;NA
80;"Stress";"Lab";"4/4";"EF";34;"f";"t1";26;7;3,4
80;"Stress";"Lab";"4/4";"EF";34;"f";"t2";22;5,1;7,2
81;"Stress";"Lab";"1/4";"EF";21;"m";"t1";28;6,3;4,7
81;"Stress";"Lab";"1/4";"EF";21;"m";"t2";22;5;6,3
82;"Kontrollgruppe";"Lab";"3/4";"CD";21;"m";"t1";22;6,9;4
82;"Kontrollgruppe";"Lab";"3/4";"CD";21;"m";"t2";20;NA;4,4
83;"Kontrollgruppe";"Lab";"3/4";"AB";31;"m";"t1";27;7,5;3,3
83;"Kontrollgruppe";"Lab";"3/4";"AB";31;"m";"t2";30;7,7;4,1
84;NA;"Zuhause";"4/4";"EF";28;"f";"t1";26;6,5;5,3
84;NA;"Zuhause";"4/4";"EF";28;"f";"t2";22;6,7;4,6
85;"Kontrollgruppe";"Lab";"1/4";"CD";27;"f";"t1";29;9,2;4,8
85;"Kontrollgruppe";"Lab";"1/4";"CD";27;"f";"t2";30;8,8;4,1
86;"Stress";"Lab";"4/4";"EF";34;"m";"t1";27;6,9;5
86;"Stress";"Lab";"4/4";"EF";34;"m";"t2";22;6,4;10
87;"Stress";"Zuhause";"4/4";"EF";21;"f";"t1";32;7,5;4,5
87;"Stress";"Zuhause";"4/4";"EF";21;"f";"t2";28;6,7;4,5
88;"Kontrollgruppe";"Lab";"2/4";"CD";18;"f";"t1";26;8,8;5,5
88;"Kontrollgruppe";"Lab";"2/4";"CD";18;"f";"t2";26;7,6;5,8
89;"Kontrollgruppe";"Zuhause";"1/4";"AB";22;"div";"t1";23;7,7;6,1
89;"Kontrollgruppe";"Zuhause";"1/4";"AB";22;"div";"t2";22;6,7;5,7
90;NA;"Zuhause";"4/4";"CD";35;"f";"t1";28;8,3;7,3
90;NA;"Zuhause";"4/4";"CD";35;"f";"t2";31;7,3;7,7
91;"Kontrollgruppe";"Zuhause";"1/4";"EF";23;"na";"t1";31;10,6;7,6
91;"Kontrollgruppe";"Zuhause";"1/4";"EF";23;"na";"t2";32;11,2;7,1
92;"Kontrollgruppe";NA;"3/4";"CD";28;"m";"t1";35;7;5,7
92;"Kontrollgruppe";NA;"3/4";"CD";28;"m";"t2";31;5,8;5,3
93;"Kontrollgruppe";"Zuhause";"4/4";"CD";27;"m";"t1";27;7;6,1
93;"Kontrollgruppe";"Zuhause";"4/4";"CD";27;"m";"t2";29;9,2;6
94;"Kontrollgruppe";"Lab";"3/4";"AB";29;"na";"t1";31;5,4;4
94;"Kontrollgruppe";"Lab";"3/4";"AB";29;"na";"t2";28;5,2;3,4
95;"Kontrollgruppe";"Zuhause";"2/4";"AB";34;"m";"t1";28;7,7;7,6
95;"Kontrollgruppe";"Zuhause";"2/4";"AB";34;"m";"t2";32;7,3;4,7
96;"Stress";"Zuhause";"4/4";"AB";31;"f";"t1";25;7,9;4,4
96;"Stress";"Zuhause";"4/4";"AB";31;"f";"t2";24;5,6;7,3
97;"Kontrollgruppe";"Zuhause";"4/4";"AB";24;"f";"t1";21;5,6;3,4
97;"Kontrollgruppe";"Zuhause";"4/4";"AB";24;"f";"t2";26;5,6;4,4
98;"Stress";"Lab";"2/4";"EF";30;"m";"t1";28;6,8;4,3
98;"Stress";"Lab";"2/4";"EF";30;"m";"t2";20;5,2;NA
99;"Kontrollgruppe";"Lab";"1/4";"EF";32;"f";"t1";28;9,4;4,5
99;"Kontrollgruppe";"Lab";"1/4";"EF";32;"f";"t2";35;9,5;4,9
100;"Stress";"Lab";"4/4";"CD";25;"f";"t1";26;6,1;4,5
100;"Stress";"Lab";"4/4";"CD";25;"f";"t2";25;6,2;7,8
101;"Stress";"Zuhause";"3/4";"CD";18;"div";"t1";25;6,5;4,9
101;"Stress";"Zuhause";"3/4";"CD";18;"div";"t2";14;NA;NA
102;"Stress";NA;"3/4";"AB";19;"f";"t1";30;8,4;4,6
102;"Stress";NA;"3/4";"AB";19;"f";"t2";21;7;9,5
103;"Kontrollgruppe";"Lab";"1/4";"EF";29;"f";"t1";23;6,5;3,5
103;"Kontrollgruppe";"Lab";"1/4";"EF";29;"f";"t2";22;7,5;3,3
104;"Kontrollgruppe";NA;"1/4";"EF";23;"f";"t1";NA;7,7;2,2
104;"Kontrollgruppe";NA;"1/4";"EF";23;"f";"t2";27;6,5;3,1
105;"Kontrollgruppe";"Zuhause";"4/4";"EF";30;"f";"t1";30;7,3;4,2
105;"Kontrollgruppe";"Zuhause";"4/4";"EF";30;"f";"t2";29;7,1;4,8
106;"Kontrollgruppe";"Zuhause";"2/4";"AB";28;"f";"t1";30;6,3;2,9
106;"Kontrollgruppe";"Zuhause";"2/4";"AB";28;"f";"t2";30;NA;4,1
107;"Stress";"Zuhause";"1/4";"EF";26;"na";"t1";NA;NA;4,4
107;"Stress";"Zuhause";"1/4";"EF";26;"na";"t2";26;5,9;7,3
108;"Stress";"Lab";"1/4";"AB";35;"m";"t1";27;7,9;4,1
108;"Stress";"Lab";"1/4";"AB";35;"m";"t2";22;8,6;7,6
109;"Kontrollgruppe";NA;"3/4";"EF";22;"f";"t1";33;7,3;3,3
109;"Kontrollgruppe";NA;"3/4";"EF";22;"f";"t2";30;7,1;3,5
110;"Stress";"Lab";"4/4";"CD";34;"f";"t1";28;9,3;3,7
110;"Stress";"Lab";"4/4";"CD";34;"f";"t2";27;8,8;4,4
111;"Stress";"Zuhause";"3/4";"EF";30;"f";"t1";22;5,2;4,7
111;"Stress";"Zuhause";"3/4";"EF";30;"f";"t2";16;6,6;5,2
112;"Kontrollgruppe";"Zuhause";"1/4";"CD";35;"f";"t1";25;6,4;4,1
112;"Kontrollgruppe";"Zuhause";"1/4";"CD";35;"f";"t2";26;5,8;3,4
113;"Kontrollgruppe";"Lab";"4/4";"AB";24;"m";"t1";28;7,2;2,6
113;"Kontrollgruppe";"Lab";"4/4";"AB";24;"m";"t2";23;6,3;2,6
114;"Stress";"Zuhause";"1/4";"CD";31;"f";"t1";25;2,9;5,4
114;"Stress";"Zuhause";"1/4";"CD";31;"f";"t2";20;3,7;7,7
115;NA;"Zuhause";"1/4";"AB";28;"f";"t1";28;6;5,8
115;NA;"Zuhause";"1/4";"AB";28;"f";"t2";21;6,1;4,3
116;"Kontrollgruppe";"Zuhause";"4/4";"EF";21;"f";"t1";30;7,8;4,3
116;"Kontrollgruppe";"Zuhause";"4/4";"EF";21;"f";"t2";24;5,7;4,7
117;"Stress";"Lab";"1/4";"AB";29;"f";"t1";25;7;4,3
117;"Stress";"Lab";"1/4";"AB";29;"f";"t2";27;4,9;9,1
118;"Stress";"Zuhause";"1/4";"CD";27;"m";"t1";29;8,5;6
118;"Stress";"Zuhause";"1/4";"CD";27;"m";"t2";26;NA;7,4
119;"Kontrollgruppe";"Zuhause";"1/4";"AB";26;"f";"t1";35;7;3,4
119;"Kontrollgruppe";"Zuhause";"1/4";"AB";26;"f";"t2";31;7,9;4,7
120;"Stress";"Lab";"2/4";"CD";21;"f";"t1";26;5,6;7,4
120;"Stress";"Lab";"2/4";"CD";21;"f";"t2";16;5,4;NA
121;"Stress";NA;"4/4";"AB";32;"m";"t1";25;8;3,4
121;"Stress";NA;"4/4";"AB";32;"m";"t2";24;6,3;7,5
122;"Stress";"Zuhause";"3/4";"AB";29;"f";"t1";33;6,1;5,3
122;"Stress";"Zuhause";"3/4";"AB";29;"f";"t2";28;NA;6,2
123;NA;"Lab";"2/4";"AB";34;"f";"t1";26;8,3;6,4
123;NA;"Lab";"2/4";"AB";34;"f";"t2";24;NA;6,4
124;"Kontrollgruppe";"Zuhause";"1/4";"EF";21;"f";"t1";39;7,8;4
124;"Kontrollgruppe";"Zuhause";"1/4";"EF";21;"f";"t2";36;6,3;4
125;"Kontrollgruppe";"Lab";"3/4";"CD";33;"f";"t1";29;6,7;7,3
125;"Kontrollgruppe";"Lab";"3/4";"CD";33;"f";"t2";28;6,9;5,4
126;"Stress";"Lab";"1/4";"EF";33;"div";"t1";23;7,4;3
126;"Stress";"Lab";"1/4";"EF";33;"div";"t2";20;6,3;6,6
127;"Kontrollgruppe";NA;"1/4";"EF";23;"na";"t1";29;7,2;3,6
127;"Kontrollgruppe";NA;"1/4";"EF";23;"na";"t2";NA;6,7;4,2
128;"Stress";"Zuhause";"3/4";"AB";22;"f";"t1";25;6,3;8,3
128;"Stress";"Zuhause";"3/4";"AB";22;"f";"t2";24;5,8;NA
129;"Stress";"Zuhause";"2/4";"CD";35;"f";"t1";28;8,7;4,1
129;"Stress";"Zuhause";"2/4";"CD";35;"f";"t2";28;8,6;7
130;"Stress";"Zuhause";"1/4";"CD";19;"f";"t1";22;6,6;6
130;"Stress";"Zuhause";"1/4";"CD";19;"f";"t2";23;6;6,6
131;"Kontrollgruppe";"Lab";"2/4";"EF";32;"f";"t1";22;5,7;1,4
131;"Kontrollgruppe";"Lab";"2/4";"EF";32;"f";"t2";28;6,2;1,7
132;NA;"Lab";"4/4";"CD";31;"m";"t1";25;5,9;5,7
132;NA;"Lab";"4/4";"CD";31;"m";"t2";25;5,4;6,9
133;"Stress";"Zuhause";"2/4";"CD";33;"f";"t1";29;5,7;4,2
133;"Stress";"Zuhause";"2/4";"CD";33;"f";"t2";21;5,5;6,6
134;"Kontrollgruppe";"Zuhause";"1/4";"CD";32;"f";"t1";24;6,8;2,7
134;"Kontrollgruppe";"Zuhause";"1/4";"CD";32;"f";"t2";28;7,2;2,1
135;"Kontrollgruppe";"Zuhause";"4/4";"CD";34;"f";"t1";29;7,2;4,5
135;"Kontrollgruppe";"Zuhause";"4/4";"CD";34;"f";"t2";31;NA;4,8
136;NA;"Zuhause";"2/4";"AB";33;"m";"t1";24;7,7;2,4
136;NA;"Zuhause";"2/4";"AB";33;"m";"t2";22;6,4;5,9
137;"Stress";"Zuhause";"4/4";"CD";29;"f";"t1";19;7,2;3,4
137;"Stress";"Zuhause";"4/4";"CD";29;"f";"t2";14;7,9;7,7
138;"Kontrollgruppe";"Lab";"1/4";"CD";22;"m";"t1";22;4,9;4,4
138;"Kontrollgruppe";"Lab";"1/4";"CD";22;"m";"t2";25;5;6,1
139;"Kontrollgruppe";"Zuhause";"2/4";"EF";26;"m";"t1";26;6,4;5,6
139;"Kontrollgruppe";"Zuhause";"2/4";"EF";26;"m";"t2";23;5,7;3,4
140;"Stress";"Zuhause";"4/4";"EF";33;"f";"t1";34;9,6;3,9
140;"Stress";"Zuhause";"4/4";"EF";33;"f";"t2";25;8;7,3
141;"Stress";"Lab";"1/4";"CD";30;"f";"t1";25;7;7,1
141;"Stress";"Lab";"1/4";"CD";30;"f";"t2";20;5,5;9
142;"Stress";"Zuhause";"3/4";"CD";31;"f";"t1";32;7,7;3,8
142;"Stress";"Zuhause";"3/4";"CD";31;"f";"t2";NA;5,4;6,3
143;"Stress";"Zuhause";"3/4";"AB";22;"na";"t1";23;7,6;4,2
143;"Stress";"Zuhause";"3/4";"AB";22;"na";"t2";23;NA;NA
144;"Kontrollgruppe";"Zuhause";"1/4";"EF";30;"m";"t1";34;7,3;5,5
144;"Kontrollgruppe";"Zuhause";"1/4";"EF";30;"m";"t2";36;NA;4,9
145;"Kontrollgruppe";"Lab";"1/4";"EF";20;"f";"t1";21;6,2;5,7
145;"Kontrollgruppe";"Lab";"1/4";"EF";20;"f";"t2";24;5,1;4,8
146;NA;NA;"1/4";"CD";27;"m";"t1";27;6,5;3,8
146;NA;NA;"1/4";"CD";27;"m";"t2";24;6,1;5,7
147;"Kontrollgruppe";"Lab";"1/4";"EF";35;"f";"t1";NA;7,1;5,9
147;"Kontrollgruppe";"Lab";"1/4";"EF";35;"f";"t2";34;8,8;3,7
148;"Kontrollgruppe";"Zuhause";"4/4";"AB";35;"m";"t1";24;8;4,6
148;"Kontrollgruppe";"Zuhause";"4/4";"AB";35;"m";"t2";29;7,6;4,3
149;"Kontrollgruppe";"Lab";"1/4";"CD";26;"na";"t1";29;7,4;1,5
149;"Kontrollgruppe";"Lab";"1/4";"CD";26;"na";"t2";NA;6;3,8
150;"Kontrollgruppe";"Zuhause";"1/4";"EF";33;"f";"t1";27;NA;2,5
150;"Kontrollgruppe";"Zuhause";"1/4";"EF";33;"f";"t2";28;NA;2,1
151;"Stress";"Zuhause";"4/4";"AB";27;"f";"t1";28;6,4;5,8
151;"Stress";"Zuhause";"4/4";"AB";27;"f";"t2";18;4;9,5
152;"Kontrollgruppe";"Zuhause";"3/4";"CD";30;"f";"t1";30;6,8;5,5
152;"Kontrollgruppe";"Zuhause";"3/4";"CD";30;"f";"t2";30;5,9;5,2
153;"Kontrollgruppe";"Zuhause";"1/4";"EF";33;"f";"t1";23;NA;2,5
153;"Kontrollgruppe";"Zuhause";"1/4";"EF";33;"f";"t2";NA;8,3;2,4
154;"Stress";"Zuhause";"2/4";"CD";35;"f";"t1";22;6;4,2
154;"Stress";"Zuhause";"2/4";"CD";35;"f";"t2";18;NA;7,2
155;"Stress";"Zuhause";"4/4";"CD";25;"m";"t1";21;6,9;4
155;"Stress";"Zuhause";"4/4";"CD";25;"m";"t2";16;5,4;6
156;"Kontrollgruppe";"Zuhause";"4/4";"AB";26;"m";"t1";32;7,8;3,4
156;"Kontrollgruppe";"Zuhause";"4/4";"AB";26;"m";"t2";31;7,6;5,1
157;"Kontrollgruppe";"Zuhause";"4/4";"AB";23;"f";"t1";29;7,8;5
157;"Kontrollgruppe";"Zuhause";"4/4";"AB";23;"f";"t2";34;8,4;5,7
158;"Kontrollgruppe";"Lab";"1/4";"AB";34;"f";"t1";25;5,8;NA
158;"Kontrollgruppe";"Lab";"1/4";"AB";34;"f";"t2";24;4,7;3,8
159;NA;"Zuhause";"3/4";"CD";23;"f";"t1";24;7,5;6,1
159;NA;"Zuhause";"3/4";"CD";23;"f";"t2";27;7;4,7
160;"Kontrollgruppe";"Lab";"2/4";"CD";20;"f";"t1";19;7,8;5,1
160;"Kontrollgruppe";"Lab";"2/4";"CD";20;"f";"t2";24;8,1;5,4
