"id_raw"	"group_raw"	"device_raw"	"coder"	"notes"
"68"	"Kontrollgruppe"	"home"	"AB"	""
"69"	"stress "	"Zuhause"	"EF"	""
"70"	"Stress"	"Zuhause"	"AB"	""
"71"	"Stress"	"Zuhause"	"CD"	""
"72"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"73"	"Stress"	"Zuhause"	"AB"	""
"74"	"Kontrollgruppe"	"Lab"	""	""
"75"	"nicht gefragt"	"Zuhause"	"AB"	""
"76"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"77"	"Stress"	"Lab"	"EF"	""
"78"	"Stress"	"Zuhause"	"EF"	""
"79"	"Stress"	"Zuhause"	"CD"	"Technisches Problem"
"80"	"Stress"	"Lab"	"EF"	""
"P81"	"Stress"	"Lab"	"EF"	""
"82"	"Kontrollgruppe"	"im_Lab"	"CD"	""
"83"	"Kontrollgruppe"	"Lab"	"AB"	""
"84"	"keine Angabe"	"Zuhause"	"EF"	""
"85"	"Kontrollgruppe"	"Lab"	"CD"	""
"86"	"Stress"	"im_Lab"	"EF"	""
"87"	"Stress"	"Zuhause"	"EF"	""
"88"	"Kontrollgruppe"	"Lab"	"CD"	""
"89"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"90"	"k.A."	"Zuhause"	"CD"	""
"91"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"92"	"Kontrollgruppe"	"k.A."	"CD"	"spät erschienen"
"93"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"94"	"Kontrollgruppe"	"Lab"	"AB"	"Teilnehmer abgelenkt"
"95"	"Kontrollgruppe"	"zuHause"	"AB"	""
"96"	"Stress"	"Zuhause"	"AB"	""
"97"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"98"	"Stress"	"lab"	"EF"	""
"99"	"Kontrollgruppe"	"Lab"	"EF"	""
"100"	"Stress"	"Lab"	"CD"	""
"101"	"STRESS"	"zuHause"	"CD"	""
"102"	"Stress"	"unklar"	"ab"	""
"P103"	"Kontrollgruppe"	"Lab"	"EF"	""
"104"	"Kontrollgruppe"	"fehlend"	"EF"	""
"105"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"106"	"CON"	"Zuhause"	"AB"	""
"107"	"Stress"	"daheim"	"EF"	""
"108"	"Stress"	"Lab"	"AB"	""
"109"	"Kontrollgruppe"	"keine Angabe"	"EF"	""
"110"	"Stress"	"lab"	"CD"	""
"111"	"Stress"	"Zuhause"	"EF"	""
" 112 "	"Kontrollgruppe"	"zuHause"	"CD"	""
"113"	"Kontrollgruppe"	"Lab"	"AB"	""
" 114 "	"Stress"	"Zuhause"	"CD"	""
"115"	"nicht erhoben"	"Zuhause"	"AB"	""
"116"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"117"	"Stress"	"Lab"	"AB"	""
"118"	"Stress"	"Zuhause"	"CD"	""
"119"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"120"	"Stress"	"Lab"	"CD"	""
"121"	"Stress"	"?"	"AB"	""
"122"	"Stress"	"daheim"	"AB"	""
"123"	"nicht erhoben"	"Lab"	"AB"	""
"124"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"125"	"Kontrollgruppe"	"Lab"	"CD"	""
"126"	"Stress"	"Lab"	"EF"	""
"127"	"Kontrollgruppe"	"nicht gefragt"	"EF"	""
"128"	"STRESS"	"Zuhause"	"AB"	""
"129"	"Stress"	"Zuhause"	"CD"	""
"130"	"Stress"	"Zuhause"	"CD"	""
"131"	"Kontrollgruppe"	"Lab"	"EF"	""
"132"	"unklar"	"Lab"	"CD"	""
"133"	"STR"	"Zuhause"	"CD"	""
"134"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"135"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"136"	"unklar"	"Zuhause"	"AB"	""
"137"	"Stress"	"Zuhause"	"CD"	""
"138"	"Kontrollgruppe"	"Lab"	"CD"	""
"139"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"140"	"Stress"	"Zuhause"	"EF"	""
"141"	"Stress"	"Lab"	"CD"	""
"142"	"Stress"	"Zuhause"	"CD"	""
"P143"	"Stress"	"Zuhause"	"AB"	""
"144"	"Kontrollgruppe"	"Zuhause"	"EF  "	""
"145"	"Kontrollgruppe"	"LAB "	"EF"	""
"P146"	"k.A."	"k.A."	"CD"	""
"147"	"Kontrollgruppe"	"Lab"	"EF"	""
"148"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"P149"	"Kontrollgruppe"	"Lab"	"CD"	"Technisches Problem"
"150"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"ID-151"	"Stress"	"Zuhause"	"AB"	""
"152"	"Kontrollgruppe"	"zuHause"	"CD"	""
"153"	"ctrl"	"Zuhause"	"EF"	""
"154"	"Stress"	"Zuhause"	"CD"	""
"155"	"Stress"	"Zuhause"	"CD"	""
"156"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"157"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"158"	"CON"	"Lab"	"AB"	""
"159"	"?"	"home"	"CD"	""
"160"	"Kontrollgruppe"	"Lab"	"CD"	""
"161"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"162"	"Kontrollgruppe"	"Home "	"EF"	""
"163"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"164"	"fehlend"	"zuHause"	"EF"	""
"165"	"k.A."	"vergessen"	"CD"	""
"166"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"167"	"Kontrollgruppe"	"Lab"	"CD"	""
"168"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"169"	"ctrl"	"Zuhause"	"EF"	""
"170"	"Stress"	"Lab"	"EF"	""
"171"	"Stress"	"unklar"	"AB"	""
"172"	"Stress"	"k.A."	"CD"	""
"173"	"control"	"Zuhause"	"CD"	""
"174"	"Stress"	"Lab"	"CD"	""
"175"	"vergessen"	"Zuhause"	"AB"	""
"176"	"Kontrollgruppe"	"LAB "	"EF"	""
"177"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"178"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"179"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"180"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"181"	"vergessen"	"Lab"	"AB"	""
"182"	"stress "	"Zuhause"	"EF"	"Pause während Aufgabe"
"183"	"Stress"	"Zuhause"	"AB"	""
"184"	"Stress"	"Lab"	"AB"	""
"P185"	"Control "	"Lab"	"CD"	""
"186"	"Stress"	"Lab"	"CD"	""
"187"	"stress"	"Zuhause"	"EF"	""
"P188"	"ctrl"	"Zuhause"	"EF"	""
"59"	"Kontrollgruppe"	"Zuhause"	"CD"	"Doppelter Eintrag?"
"178"	"Kontrollgruppe"	"Zuhause"	"AB"	"Doppelter Eintrag?"
"173"	"control"	"Zuhause"	"CD"	"Doppelter Eintrag?"
" 112 "	"Kontrollgruppe"	"zuHause"	""	"Doppelter Eintrag?"
"177"	"Kontrollgruppe"	"Zuhause"	"CD"	"Doppelter Eintrag?"
